Syntax version=4
Sun Nov 24 22:27:38 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		akcelerometer[0]	akcelerometer[1]	akcelerometer[2]	gyroskope[0]	gyroskope[1]	gyroskope[2]
D:	time(ms)	(0x20000780,7)	(0x20000788,7)	(0x20000790,7)	(0x20000798,7)	(0x200007a0,7)	(0x200007a8,7)
D:	1040.21	1.254990	0.845442	-10.049502	-0.014914	0.060720	-0.019175
D:	1041.21	1.254990	0.845442	-10.049502	-0.014914	0.060720	-0.019175
D:	1042.19	1.254990	0.845442	-10.049502	-0.014914	0.060720	-0.019175
D:	1043.19	1.254990	0.845442	-10.039922	-0.028762	0.033023	-0.011718
D:	1044.15	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1045.03	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1046.03	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1046.84	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1047.78	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1048.73	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1049.65	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1050.58	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1051.68	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1052.79	1.360371	0.759221	-10.039922	-0.028762	0.033023	-0.011718
D:	1053.85	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1054.90	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1056.07	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1057.07	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1057.92	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1059.09	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1060.07	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
D:	1061.06	1.367556	0.586780	-9.958491	-0.021305	0.027697	0.030893
